master_cpd_id;cpd_name;broad_cpd_id;top_test_conc_umol;cpd_status;inclusion_rationale;gene_symbol_of_protein_target;target_or_activity_of_compound;source_name;source_catalog_id;cpd_smiles;status;combined_group
348990;axitinib;BRD-K29905972;66;FDA;kinome;"FLT1;FLT3;KDR;KIT;PDGFRA;PDGFRB";inhibitor of VEGFRs, c-KIT, and PDGFR alpha and beta;Selleck;S1005;CNC(=O)c1ccccc1Sc1ccc2c(\C=C\c3ccccn3)n[nH]c2c1;approved_or_clinical;RTK tyrosine-kinase inhibitor
348997;GW-843682X;BRD-K90382497;33;probe;"kinome;pilot-set";"PLK1;PLK3";inhibitor of PLK1 and PLK3;Axon Medchem;1131;COc1cc2ncn(-c3cc(OCc4ccccc4C(F)(F)F)c(s3)C(N)=O)c2cc1OC;experimental;Cell-cycle/Checkpoint modulator
349002;vandetanib;BRD-K77625799;66;FDA;"kinome;std-of-care";"EGFR;KDR";inhibitor of VEGFR2 and EGFR;Selleck;S1046;COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1;approved_or_clinical;RTK tyrosine-kinase inhibitor
349006;sorafenib;BRD-K23984367;66;FDA;"CTEP;kinome;std-of-care";"BRAF;FLT3;KDR;RAF1";inhibitor of BRAF, CRAF, and VEGFR2;Cayman;10009644;CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1;approved_or_clinical;MAPK pathway inhibitor
350548;ML029;BRD-K59962020;33;probe;"chromatin;pilot-set";;inhibitor of antigen receptor-mediated NFkappaB activity;WuXi AppTec;TH02453-034;Cc1cc2nc(NCCCO)n(CC(=O)c3cc(c(O)c(c3)C(C)(C)C)C(C)(C)C)c2cc1C;experimental;Epigenetic/transcription modulator
351043;temozolomide;BRD-A94153989;66;FDA;std-of-care;;DNA alkylator;Selleck;S1237;CN1N=Nc2c(ncn2C1=O)C(=O)N;approved_or_clinical;DNA damage/replication/cytotoxics
362063;QW-BI-011;BRD-K72264770;33;probe;"chromatin;pilot-set";EHMT2;inhibitor of G9a histone methyltransferase;Broad Institute of MIT and Harvard;;COC(=O)c1ccc2n(CCCc3ccccc3)c(NC(=O)c3ccccc3)nc2c1;experimental;Epigenetic/transcription modulator
362207;BRD-K90370028;BRD-K90370028;33;probe;outreach;;screening hit;Broad Institute of MIT and Harvard;;CC(=O)N[C@@H]1C\C=C\CCC(=O)N[C@@H](COC1=O)c1ccccc1;experimental;Miscellaneous or screening hit/natural product
362342;navitoclax;BRD-K82746043;33;clinical;"CTEP;pilot-set";"BCL2;BCL2L1;BCL2L2";inhibitor of BCL2, BCL-xL, and BCL-W;Selleck;S1001;CC1(C)CCC(=C(CN2CCN(CC2)c2ccc(cc2)C(=O)NS(=O)(=O)c2ccc(N[C@H](CCN3CCOCC3)CSc3ccccc3)c(c2)S(=O)(=O)C(F)(F)F)C1)c1ccc(Cl)cc1;approved_or_clinical;Apoptosis/BCL/p53/MDM2 modulator
374747;bexarotene;BRD-K92441787;66;FDA;"chromatin;std-of-care";"RXRA;RXRB;RXRG";inhibitor of retinoid X receptors;LC Laboratories;B-2422;Cc1cc2c(cc1C(=C)c1ccc(cc1)C(O)=O)C(C)(C)CCC2(C)C;approved_or_clinical;Nuclear receptor modulator
374749;nilotinib;BRD-K81528515;66;FDA;"kinome;std-of-care";"ABL1;BCR;KIT";inhibitor of ABL1, BCR, and c-KIT;Selleck;S1033;Cc1cn(cn1)-c1cc(NC(=O)c2ccc(C)c(Nc3nccc(n3)-c3cccnc3)c2)cc(c1)C(F)(F)F;approved_or_clinical;RTK tyrosine-kinase inhibitor
374750;sunitinib;BRD-K42828737;66;FDA;"CTEP;kinome";"FLT1;FLT3;KDR;KIT;PDGFRA;PDGFRB";inhibitor of VEGFRs, c-KIT, and PDGFR alpha and beta;Selleck;S1042;CCN(CC)CCNC(=O)c1c(C)[nH]c(\C=C2/C(=O)Nc3ccc(F)cc23)c1C;approved_or_clinical;RTK tyrosine-kinase inhibitor
374755;bendamustine;BRD-K17068645;66;FDA;std-of-care;;DNA alkylator;Selleck;S1212;Cn1c(CCCC(O)=O)nc2cc(ccc12)N(CCCl)CCCl;approved_or_clinical;DNA damage/replication/cytotoxics
375219;omacetaxine mepesuccinate;BRD-K76674262;66;FDA;lit-search;;inhibitor of protein translation by preventing protein elongation;Tocris Bioscience;1416;COC(=O)C[C@](O)(CCCC(C)(C)O)C(=O)O[C@H]1[C@H]2c3cc4OCOc4cc3CCN3CCC[C@]23C=C1OC;approved_or_clinical;DNA damage/replication/cytotoxics
375354;LE-135;BRD-K06593056;66;probe;pilot-set;RARB;antagonist of retinoic acid receptor beta;Tocris Bioscience;2021;CN1c2cc3c(cc2N=C(c2ccc(cc2)C(O)=O)c2ccccc12)C(C)(C)CCC3(C)C;experimental;Nuclear receptor modulator
375395;Platin;BRD-K69172251;66;FDA;std-of-care;;"DNA alkylator; organoplatinum reagent";Selleck;S1166;N[Pt](N)(Cl)Cl;approved_or_clinical;DNA damage/replication/cytotoxics
375487;AC55649;BRD-K93176058;33;probe;"chromatin;pilot-set";RARB;agonist of retinoic acid receptor beta;ChemBridge Corporation;5308535;CCCCCCCCc1ccc(cc1)-c1ccc(cc1)C(O)=O;experimental;Nuclear receptor modulator
375492;RITA;BRD-K00317371;33;probe;pilot-set;"MDM2;TP53";inhibitor of p53-MDM2 interaction;Tocris Bioscience;2443;OCc1ccc(s1)-c1ccc(o1)-c1ccc(CO)s1;experimental;Apoptosis/BCL/p53/MDM2 modulator
375496;LY-2183240;BRD-K37865504;33;probe;pilot-set;FAAH;"inhibitor of fatty acid amide hydrolase; inhibitor of anandamide uptake";Tocris Bioscience;2452;CN(C)C(=O)n1nnnc1Cc1ccc(cc1)-c1ccccc1;experimental;Other signaling enzyme/channel/metabolic modulator
375560;Ki8751;BRD-K47150025;66;probe;kinome;"KDR;KIT;PDGFRA";inhibitor of VEGFR2, c-KIT, and PDGFRA;Selleck;S1363;COc1cc2nccc(Oc3ccc(NC(=O)Nc4ccc(F)cc4F)c(F)c3)c2cc1OC;experimental;RTK tyrosine-kinase inhibitor
375564;TPCA-1;BRD-K51575138;66;probe;"chromatin;outreach";IKBKB;inhibitor of IKK-2;Tocris Bioscience;2559;NC(=O)Nc1sc(cc1C(N)=O)-c1ccc(F)cc1;experimental;PI3K/AKT/mTOR pathway inhibitor
375582;oxaliplatin;BRD-M14820059;66;FDA;std-of-care;;"DNA alkylator; organoplatinum reagent";Selleck;S1224;O=C1O[Pt]2(NC3CCCCC3N2)OC1=O;approved_or_clinical;DNA damage/replication/cytotoxics
375594;NSC632839;BRD-K37392901;33;probe;pilot-set;"USP13;USP5";inhibitor of ubiquitin isopeptidase;;;Cc1ccc(C=C2CNCC(=Cc3ccc(C)cc3)C2=O)cc1;experimental;Proteostasis/Ubiquitin/HSP chaperone modulator
375596;pifithrin-mu;BRD-K96799727;33;probe;pilot-set;"HSPA1A;HSPA1B;HSPA1L;TP53";"inhibitor of p53 binding to mitochondria; inhibitor of HSP70";Sigma-Aldrich;P0122;NS(=O)(=O)C#Cc1ccccc1;experimental;Proteostasis/Ubiquitin/HSP chaperone modulator
376307;BRD-K80183349;BRD-K80183349;66;probe;"chromatin;outreach";"HDAC1;HDAC2";inhibitor of HDAC1 and HDAC2;Stanley Center for Psychiatric Research at the Broad Institute;;CC(=O)N1CCC(CC1)C(=O)Nc1cc(ccc1N)-c1cccs1;experimental;Epigenetic/transcription modulator
376693;BRD-K66532283;BRD-K66532283;66;probe;"chromatin;outreach";"HDAC1;HDAC2";inhibitor of HDAC1 and HDAC2;Stanley Center for Psychiatric Research at the Broad Institute;;Nc1ccc(cc1NC(=O)C1=CCCC1)-c1cccs1;experimental;Epigenetic/transcription modulator
377381;MK-2206;BRD-K68065987;33;clinical;"chromatin;CTEP;kinome;pilot-set";AKT1;inhibitor of AKT1;Selleck;S1078;NC1(CCC1)c1ccc(cc1)-c1nc2ccn3c(n[nH]c3=O)c2cc1-c1ccccc1;approved_or_clinical;PI3K/AKT/mTOR pathway inhibitor
385240;triazolothiadiazine;BRD-K05402890;66;probe;pilot-set;"PDE4A;PDE4B;PDE4D";inhibitor of phosphdiesterase 4A/B/D;WuXi AppTec;TH02420-017;COc1ccc(OC)c(c1)-c1nnc2SCC(=Nn12)c1ccc(OC)c(OC)c1;experimental;Other signaling enzyme/channel/metabolic modulator
387472;BRD-K66453893;BRD-K66453893;66;GE-active;"DOS;profiling";;product of diversity oriented synthesis;Broad Institute of MIT and Harvard;;C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)S(=O)(=O)c2ccc(Cl)cc2)Oc2ccc(NC(=O)CCC(F)(F)F)cc2CC1=O;experimental;Miscellaneous or screening hit/natural product
389297;BRD-K11533227;BRD-K11533227;66;probe;"chromatin;outreach";"HDAC1;HDAC2";inhibitor of HDAC1 and HDAC2;Stanley Center for Psychiatric Research at the Broad Institute;;CC(=O)NC1CCN(CC1)C(=O)Nc1cc(ccc1N)-c1cccs1;experimental;Epigenetic/transcription modulator
397964;BRD-K27224038;BRD-K27224038;66;GE-active;"DOS;profiling";;product of diversity oriented synthesis;Broad Institute of MIT and Harvard;;C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)C2CCOCC2)Oc2ncc(cc2C1=O)C#CC1(O)CCCC1;experimental;Miscellaneous or screening hit/natural product
